                precision    recall  f1-score   support
       Dessert       0.31      0.37      0.33       407
        Entrée       0.26      0.36      0.30       337
Plat principal       0.49      0.33      0.39       644
      accuracy                           0.35      1388
     macro avg       0.35      0.35      0.34      1388
  weighted avg       0.38      0.35      0.35      1388
